kodifikasi,nama,lokasi,kotamadya,kecamatan,kelurahan,luas,jenis
813030036,Taman Hadiah Utama I,Jl. Hadiah Utama I,Jakarta Barat,Grogol Petamburan,Jelambar,1260,Taman Lingkungan
813030024,Taman Jelambar Baru (Wijaya Kusuma),Jl. Jelambar Baru,Jakarta Barat,Grogol Petamburan,Jelambar,635,Taman Lingkungan
813030034,Taman Jelambar RW 01,Jl. Hadiah Utama Raya,Jakarta Barat,Grogol Petamburan,Jelambar,2706.3,Taman Lingkungan
813030022,Taman Madya Barat,Jl. Madya Barat,Jakarta Barat,Grogol Petamburan,Jelambar,2566,Taman Lingkungan
813030063,Taman Madya Barat II,Jl. Madya Barat II,Jakarta Barat,Grogol Petamburan,Jelambar,1780,Taman Lingkungan
813030039,Taman Hadiah Utama Raya,Jl. Hadiah Utama Raya,Jakarta Barat,Grogol Petamburan,Jelambar,3739,Taman Lingkungan
813030061,Taman Jelambar Timur IIB,Jl. Jelambar Timur IIB,Jakarta Barat,Grogol Petamburan,Jelambar,993,Taman Lingkungan
813030027,Taman Jelambar RW 02,Jl. Jelambar Madya IV,Jakarta Barat,Grogol Petamburan,Jelambar,1082.2,Taman Lingkungan
813030059,Taman Hadiah Utama IVA,Jl. Hadiah Utama IVA,Jakarta Barat,Grogol Petamburan,Jelambar,654,Taman Lingkungan
813030025,Taman Madya Timur II,Jl. Madya Timur II A,Jakarta Barat,Grogol Petamburan,Jelambar,732.5,Taman Lingkungan
813030023,Taman Staria,Jl. Satria,Jakarta Barat,Grogol Petamburan,Jelambar,1017,Taman Lingkungan
813030033,Taman Hadiah Utama IV,Jl. Hadiah Utama IV,Jakarta Barat,Grogol Petamburan,Jelambar,762,Taman Lingkungan
813030049,Taman Jelambar Baru,Jl. Hanoman I,Jakarta Barat,Grogol Petamburan,Jelambar Baru,635,Taman Lingkungan
813030048,Taman Pakuwon,Jl. Jatayu 4A,Jakarta Barat,Grogol Petamburan,Jelambar Baru,549.7,Taman Lingkungan
813030021,Taman Tg Duren Selatan III,Jl. Tanjung Duren Selatan III,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,750,Taman Lingkungan
813030010,Taman Delima I,Jl. Delima I,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,1081,Taman Lingkungan
813030017,Taman Dukuh II,Jl. Dukuh II,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,781,Taman Lingkungan
813030038,Taman R Dinas Walikota,R Dinas Walikota,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,1,Taman Lingkungan
813030015,Taman Manggis III,Jl. Manggis III,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,927,Taman Lingkungan
813030013,Taman Menteng II,Jl. Menteng II,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,732,Taman Lingkungan
813030011,Taman Tanj. Duren Timur II A,Jl. Tanj. Duren Timur II A,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,811,Taman Lingkungan
813030032,Taman Tg Duren Selatan I,Jl. Tanjung Duren Sltn I,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,582,Taman Lingkungan
813030009,Taman Rambutan,Jl. Rambutan,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,3026.9,Taman Lingkungan
813030041,Taman Lontar Timur,Jl. Lontar,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,693,Taman Lingkungan
813030030,Taman Dukuh III,Jl. Dukuh III,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,802,Taman Lingkungan
813030016,Taman Lontar (Grogol),Jl. Lontar,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,869,Taman Lingkungan
813030014,Taman Manggis XIX,Jl. Manggis XIX,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,635,Taman Lingkungan
813030035,Taman Lereng I,Jl. Tanjung Duren,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,780,Taman Lingkungan
813030057,Taman Lereng II,Jl. Tanjung Duren,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,286,Taman Lingkungan
813030012,Taman Way Seputih,Jl. Way Seputih,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,869,Taman Lingkungan
813030006,Taman Tanj. Duren Utara VII C,Jl. Tanj. Duren Utara VII C,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,1937.6,Taman Lingkungan
813030004,Taman Tanj. Duren Utara VII A,Jl. Tanj. Duren Utara VII A,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,1629,Taman Lingkungan
813030047,Taman Tanjung Duren VI,Jl. Tanjung Duren VIII,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,1363,Taman Lingkungan
813030002,Taman Tanj. Duren Utara III E,Jl. Tanj. Duren Utara III E,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,1800,Taman Lingkungan
813030056,Taman Tanjung Duren Utara IVA,Jl. Tanjung Duren Utara,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,1590,Taman Lingkungan
813030054,Taman Sekretaris,Jl. Pinggis kali Sekretaris,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,1000,Taman Lingkungan
813030005,Taman Tanj. Duren Utara VIII A,Jl. Tanj. Duren Utara VIII A,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,1269,Taman Lingkungan
813030037,Taman Depan Kec. Gropet,Jl. Tanjung Duren Utara,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,131,Taman Lingkungan
813030003,Taman Tanj. Duren Utara VI A,Jl. Tanj. Duren Utara VI A,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,1421,Taman Lingkungan
813030001,Taman Tanj. Duren Utara III C,Jl. Tanj. Duren Utara III C,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,1423,Taman Lingkungan
813030042,Taman Mandala Barat,Jl. Mandala Barat III,Jakarta Barat,Grogol Petamburan,Tomang,473,Taman Lingkungan
813030008,Taman Pulo Macan,Jl. Pulo Macan,Jakarta Barat,Grogol Petamburan,Tomang,1388.4,Taman Lingkungan
813030058,Taman Mandala Barat I,Jl. Mandala Barat I,Jakarta Barat,Grogol Petamburan,Tomang,185,Taman Lingkungan
813030043,Taman Permata,Jl. Permata,Jakarta Barat,Grogol Petamburan,Tomang,1639,Taman Lingkungan
813030018,Taman CPG Bappenas,Jl. Gerlong Baru Utara II,Jakarta Barat,Grogol Petamburan,Tomang,647,Taman Lingkungan
813030007,Taman Mandala Barat 1,Jl. Mandala Barat 1,Jakarta Barat,Grogol Petamburan,Tomang,185,Taman Lingkungan
13021011,Taman Sumonggol,Jl. Kamal Raya,Jakarta Barat,Kali Deres,Kamal,902,Taman Lingkungan
13021009,Taman Rw 06,Jl. Rt 010/06 Kamal,Jakarta Barat,Kali Deres,Kamal,932,Taman Lingkungan
13021007,Taman RT 10/03,Rt 10/03 Kamal,Jakarta Barat,Kali Deres,Kamal,800,Taman Lingkungan
13021024,Taman Sumur Bor,Jl. Sumur Bor,Jakarta Barat,Kali Deres,Kamal,1478,Taman Lingkungan
13021010,Taman Rw 08,Jl. Kamal/ Rw 08,Jakarta Barat,Kali Deres,Kamal,761,Taman Lingkungan
13021008,Taman Rt 09/03,Rt 09/03 Kamal,Jakarta Barat,Kali Deres,Kamal,1336,Taman Lingkungan
813020001,Taman Segitiga Peta Barat,Jl. Peta Barat (Segitiga).,Jakarta Barat,Kali Deres,Pegadungan,160,Taman Lingkungan
13021012,Taman Segitiga,Jl. Peta Barat,Jakarta Barat,Kali Deres,Pegadungan,115,Taman Lingkungan
13021025,Taman Elang Bondol,Jl. Daan Mogot,Jakarta Barat,Kali Deres,Semanan,177,Taman Lingkungan
13021026,Taman Kramat,Jl. Kramat,Jakarta Barat,Kali Deres,Semanan,153,Taman Lingkungan
13021027,Taman Kopti,Jl. Komp. Kopti,Jakarta Barat,Kali Deres,Semanan,1020,Taman Lingkungan
13021013,Taman Yudistira,Jl. Yudistira,Jakarta Barat,Kali Deres,Tegal Alur,175,Taman Lingkungan
13021002,Taman Pelopor,Jl. Pelopor,Jakarta Barat,Kali Deres,Tegal Alur,1505,Taman Lingkungan
13021022,Taman Menvo,Jl. Menvo,Jakarta Barat,Kali Deres,Tegal Alur,384,Taman Lingkungan
13021020,Taman Mirinda Dalam,Jl. Mirinda Dalam,Jakarta Barat,Kali Deres,Tegal Alur,201,Taman Lingkungan
13021018,Taman Malioboro,Jl. Malioboro Raya,Jakarta Barat,Kali Deres,Tegal Alur,469,Taman Lingkungan
13021016,Taman Bahagia I,Jl. Bahagia I,Jakarta Barat,Kali Deres,Tegal Alur,150,Taman Lingkungan
13021005,Taman Bhakti Mulya,Jl. Lingkungan III,Jakarta Barat,Kali Deres,Tegal Alur,986,Taman Lingkungan
13021014,Taman Mushola X,Jl. Mushola X,Jakarta Barat,Kali Deres,Tegal Alur,193,Taman Lingkungan
13021003,Taman Anggrek Biru,Jl. Anggrek Biru,Jakarta Barat,Kali Deres,Tegal Alur,2128,Taman Lingkungan
13021021,Taman Komp Kebersihan I,Komplek Kebersihan,Jakarta Barat,Kali Deres,Tegal Alur,836,Taman Lingkungan
13021019,Taman Bahagia III,Jl. Bahagia III,Jakarta Barat,Kali Deres,Tegal Alur,144,Taman Lingkungan
13021017,Taman Malioboro III,Jl. Malioboro III,Jakarta Barat,Kali Deres,Tegal Alur,153,Taman Lingkungan
13021006,Taman Sipon,Jl. Kamal Benda,Jakarta Barat,Kali Deres,Tegal Alur,1234,Taman Lingkungan
13021015,Taman Sukatani,Jl. Sukatani,Jakarta Barat,Kali Deres,Tegal Alur,176,Taman Lingkungan
13021004,Taman Kebersihan II,Komplek Kebersihan II,Jakarta Barat,Kali Deres,Tegal Alur,2612,Taman Lingkungan
13021001,Taman Musholla,Jl. Musholla,Jakarta Barat,Kali Deres,Tegal Alur,2294,Taman Lingkungan
813010005,Taman Kebon Raya,Jl. Kebon Raya,Jakarta Barat,Kebon Jeruk,Duri Kepa,1947.1,Taman Lingkungan
813010003,Taman Sebrang Kecamatan,Seberang Kantor Kecamatan,Jakarta Barat,Kebon Jeruk,Kebon Jeruk,2267,Taman Lingkungan
813010001,Taman Flamboyan ( Kbn Jeruk ),Jl. Flamboyan,Jakarta Barat,Kebon Jeruk,Kebon Jeruk,2054.7,Taman Lingkungan
813010009,Taman Komplek DPR I,Jl. Komplek DPR I,Jakarta Barat,Kebon Jeruk,Kebon Jeruk,329,Taman Lingkungan
813010006,Taman Melur,Jl. Melur,Jakarta Barat,Kebon Jeruk,Kebon Jeruk,1064.1,Taman Lingkungan
813010004,Taman Komp. Pemadam Kb. Jeruk,Komp. Pemadam Kebakaran,Jakarta Barat,Kebon Jeruk,Kebon Jeruk,1441,Taman Lingkungan
813010002,Taman Sangkrini,Jl. Sangkrini,Jakarta Barat,Kebon Jeruk,Kebon Jeruk,476.8,Taman Lingkungan
843010001,Taman Kantor Kecamatan Kebon Jeruk,Jl. Kebon Jeruk Raya,Jakarta Barat,Kebon Jeruk,Kebon Jeruk,3061,Taman Lingkungan
813010010,Taman Komp. Kebon Jeruk,Jl. Kebon Jeruk,Jakarta Barat,Kebon Jeruk,Kebon Jeruk,2562.8,Taman Lingkungan
813010008,Taman Koramil,Taman Koramil,Jakarta Barat,Kebon Jeruk,Kebon Jeruk,621.84,Taman Lingkungan
813011006,Taman Komp. DKI Joglo Blok R,Komp. DKI Joglo Blok R,Jakarta Barat,Kembangan,Joglo,1652,Taman Lingkungan
13011004,Taman Komp. DKI Blok Z,Jl Komp. DKI Blok Z,Jakarta Barat,Kembangan,Joglo,1883,Taman Lingkungan
813011002,Taman Komp. DKI Joglo Blok D,Komp. DKI Joglo Blok D,Jakarta Barat,Kembangan,Joglo,750,Taman Lingkungan
13011002,Taman Komp. DKI Blok E,Jl Komp. DKI Blok E,Jakarta Barat,Kembangan,Joglo,886,Taman Lingkungan
813011004,Taman Komp. DKI Joglo Blok M,Komp. DKI Joglo Blok M,Jakarta Barat,Kembangan,Joglo,879.06,Taman Lingkungan
13011003,Taman Komp. DKI Blok F,Jl Komp DKI Blok F,Jakarta Barat,Kembangan,Joglo,762,Taman Lingkungan
13011001,Taman Komp. Pemadam Kebakaran,Jl Komp. Pemadam Kebakaran,Jakarta Barat,Kembangan,Joglo,3977,Taman Lingkungan
813011014,Taman Kec.(Kembangan Brt),Kantor Kec.(Kembangan Brt),Jakarta Barat,Kembangan,Kembangan Selatan,2500,Taman Lingkungan
813011016,Taman Aries Utama 3,Jl.Aries Utama 3,Jakarta Barat,Kembangan,Kembangan Utara,1605,Taman Lingkungan
813011015,Taman Interaktif,Jl. Delima 8 (Komp. BTN II),Jakarta Barat,Kembangan,Kembangan Utara,814.6,Taman Lingkungan
813011013,Taman Komp. BTN I,Jl. Kembangan Baru,Jakarta Barat,Kembangan,Kembangan Utara,1289.6,Taman Lingkungan
813011009,Taman Komp. Unilever (Srengseng B),Komplek Unilever Blok B1,Jakarta Barat,Kembangan,Meruya Selatan,2657.25,Taman Lingkungan
813011010,Taman Komp. Walikota Blok C,Komp. Perumahan Walikota Blok C,Jakarta Barat,Kembangan,Meruya Selatan,2100,Taman Lingkungan
813011008,Taman Komp. Unilever (Srengseng A),Komplek Unilever Blok A1,Jakarta Barat,Kembangan,Meruya Selatan,1266,Taman Lingkungan
813011011,Taman Komp. Walikota Blok D,Komp. Perumahan Walikota Blok D,Jakarta Barat,Kembangan,Meruya Selatan,704.67,Taman Lingkungan
13011008,Taman Aries Utama I,Jl Aries Utama I,Jakarta Barat,Kembangan,Meruya Utara,1211,Taman Lingkungan
13011006,Taman Nagasari,Jl Nagasari,Jakarta Barat,Kembangan,Meruya Utara,1025,Taman Lingkungan
813011012,Taman Komp. BPPT,Jl. Teknologi 8,Jakarta Barat,Kembangan,Meruya Utara,3005.7,Taman Lingkungan
13011009,Taman Aries Elok I Blok F,Jl Aries Elok I Blok F,Jakarta Barat,Kembangan,Meruya Utara,2087,Taman Lingkungan
13011007,Taman Blok H Rt 2 Rw 7,Jl Blok H Rt 2 Rw 7,Jakarta Barat,Kembangan,Meruya Utara,1601,Taman Lingkungan
813011017,Taman Anggrek Dahlia I,Jl. Anggrek Dahlia,Jakarta Barat,Kembangan,Meruya Utara,5447.3,Taman Lingkungan
13011005,Taman Sedap Malam,Jl Sedap Malam,Jakarta Barat,Kembangan,Meruya Utara,437,Taman Lingkungan
813031019,Taman Buni,Jl. Buni,Jakarta Barat,Palmerah,Jati Pulo,272,Taman Lingkungan
813031001,Taman Anggrek Neli Murni 5,Jl. Anggrek Neli Murni 5,Jakarta Barat,Palmerah,Kemanggisan,1180.3,Taman Lingkungan
813031009,Taman Anggrek Nely Murni 2 Blok C,Jl. Anggrek Nely Murni 2,Jakarta Barat,Palmerah,Kemanggisan,603,Taman Lingkungan
813031007,Taman Anggrek Neli Murni 11,Jl. Anggrek Neli Murni 11,Jakarta Barat,Palmerah,Kemanggisan,467,Taman Lingkungan
813031005,Taman Anggrek Rosliana,Jl. Anggrek Rosliana,Jakarta Barat,Palmerah,Kemanggisan,1000,Taman Lingkungan
813031003,Taman Anggrek Garuda,Jl. Anggrek Garuda 5,Jakarta Barat,Palmerah,Kemanggisan,1119.9,Taman Lingkungan
813031012,Taman Komodo,Jl. Anggrek Rosliana,Jakarta Barat,Palmerah,Kemanggisan,1867,Taman Lingkungan
813031010,Taman Garuda (Koramil),Jl. Anggrek Garuda 5,Jakarta Barat,Palmerah,Kemanggisan,637.7,Taman Lingkungan
813031006,Taman Kemanggisan Utara,Jl. Kemanggisan Utara,Jakarta Barat,Palmerah,Kemanggisan,1000,Taman Lingkungan
813031004,Taman Anggrek Garuda 2,Jl. Anggrek Garuda 2,Jakarta Barat,Palmerah,Kemanggisan,1000,Taman Lingkungan
813031020,Taman KS. Tubun,Jl. KS. Tubun,Jakarta Barat,Palmerah,Kota Bambu Selatan,104,Taman Lingkungan
813031017,Taman Katalia I,Jl. Katalia I,Jakarta Barat,Palmerah,Kota Bambu Utara,500.4,Taman Lingkungan
813031018,Taman Katalia II,Jl. Katalia II,Jakarta Barat,Palmerah,Kota Bambu Utara,897,Taman Lingkungan
813031013,Taman Blok C Slipi F2,Jl. Blok C Slipi F2,Jakarta Barat,Palmerah,Palmerah,63,Taman Lingkungan
813031011,Taman Anggrek Garuda V,Jl. Anggrek Garuda V,Jakarta Barat,Palmerah,Palmerah,1676.88,Taman Lingkungan
813031021,Taman Anggrek Neli Murni,Jl. Anggrek Neli Murni,Jakarta Barat,Palmerah,Palmerah,1578,Taman Lingkungan
813031014,Taman Nely Murni Blok F2,Jl. Nely Murni Blok F2,Jakarta Barat,Palmerah,Palmerah,300,Taman Lingkungan
813031008,Taman Ang. Nely Murni Blok B,Jl. Ang. Nely Murni Blok B,Jakarta Barat,Palmerah,Palmerah,1271.58,Taman Lingkungan
813031015,Taman Komp. DPR,Jl. Kemanggisan ilir 6 (Komplek DPR),Jakarta Barat,Palmerah,Palmerah,1713,Taman Lingkungan
813050001,Taman Maphar,Jl. Kebon Jeruk 10,Jakarta Barat,Taman Sari,,553.9,Taman Lingkungan
31010013,REFUNGSI SPBU NO. 34-11101 Jl.Hayam Wuruk (Sisi Selatan),Jl.Hayam Wuruk (Sisi Selatan),Jakarta Barat,Taman Sari,,1125,Taman Lingkungan
813050010,Taman Keadilan,Jl.Keadilan,Jakarta Barat,Taman Sari,Glodok,70.02,Taman Lingkungan
813050004,Taman Lindetives,Jl. Hayam Wuruk,Jakarta Barat,Taman Sari,Glodok,1027,Taman Lingkungan
813050002,Taman Glodok,Jl. Pancoran,Jakarta Barat,Taman Sari,Glodok,47,Taman Lingkungan
813050011,Taman Jl.Kesederhanaan,Jl.Kesederhanaan,Jakarta Barat,Taman Sari,Glodok,213.84,Taman Lingkungan
813050003,Taman Pom Bensin,Jl. Hayam Wuruk,Jakarta Barat,Taman Sari,Glodok,296,Taman Lingkungan
813050008,Taman Jayakarta,Jl. Pangeran Jayakarta,Jakarta Barat,Taman Sari,Mangga Besar,410.7,Taman Lingkungan
813050012,Taman Lada,Jl. Lada,Jakarta Barat,Taman Sari,Pinangsia,1497,Taman Lingkungan
843050004,Taman Kant Kec. Taman Sari,Jl. Kemukus,Jakarta Barat,Taman Sari,Pinangsia,1193,Taman Lingkungan
813050006,Taman Plaza Air Mancur,Jl. Pintu Besar Utara,Jakarta Barat,Taman Sari,Pinangsia,750,Taman Lingkungan
813050009,Taman Segitiga Pinangsia,Jl. Pintu Besar Selatan,Jakarta Barat,Taman Sari,Pinangsia,132,Taman Lingkungan
813050007,Taman Gereja Sion,Jl. Pangeran Jayakarta,Jakarta Barat,Taman Sari,Pinangsia,1134,Taman Lingkungan
813050005,Taman Stas. Kota Air Mancur,Jl. Pintu Besar Utara,Jakarta Barat,Taman Sari,Pinangsia,2680,Taman Lingkungan
31010003,Taman Eks SPBU No.31-11102 Jl.Hayam Wuruk (Sisi Utara),Jl.Hayam Wuruk (Sisi Utara),Jakarta Barat,Taman Sari,Taman Sari,888,Taman Lingkungan
813040003,Taman Segitiga,Jl. Kopi,Jakarta Barat,Tambora,,301.4,Taman Lingkungan
813040002,Taman Jembatan Besi,Jl. Jembatan Besi,Jakarta Barat,Tambora,Jembatan Besi,2832.9,Taman Lingkungan
813040001,Taman Tanah Sereal (Pekapuran),Jl. Pekapuran,Jakarta Barat,Tambora,Tanah Sereal,597.8,Taman Lingkungan
11040006,Taman Genjing,Jl Rawamangun,Jakarta Pusat,Cempaka Putih,,1572,Taman Lingkungan
11040002,Taman Cempaka Putih Tengah IV,Jl Cempaka Putih Tengah IV,Jakarta Pusat,Cempaka Putih,,272,Taman Lingkungan
11040009,Taman Percetakan Negara IV,Jl Percetakan Negara IV,Jakarta Pusat,Cempaka Putih,,14,Taman Lingkungan
11040007,Taman Rawasari Barat IX,Jl Rawasari Barat IX,Jakarta Pusat,Cempaka Putih,,636,Taman Lingkungan
811040011,Taman Perempatan Cemp. Putih,Jl. Cemp. Putih Barat,Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,500,Taman Lingkungan
11040001,Taman Cempaka Putih Barat ( Perempatan ),Jl. Cempaka Putih Barat,Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,500,Taman Lingkungan
811040009,Taman Cemp. Putih Tengah IX,Jl. Cemp. Putih Tengah IX,Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,620,Taman Lingkungan
11040008,Taman Rawasari Barat (Jembatan Serong),Jl Rawasari Barat,Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,924,Taman Lingkungan
811040007,Taman Cemp. Putih Tengah X,Jl. Cemp. Putih Tengah X,Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,490,Taman Lingkungan
811040002,Taman Jembatan Serong (CemPut Tmr),Jl. Cemp. Putih Tengah/Rawasari,Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,1003,Taman Lingkungan
11040004,Taman Cempaka Putih Tengah 33 A,Jl Cempaka Putih Tengah 33 A,Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,860,Taman Lingkungan
811040008,Taman Cemp. Putih Tengah XII,Jl. Cemp. Putih Tengah XII,Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,220,Taman Lingkungan
811040006,Taman Cemp. Putih Tengah IV,Jl. Cemp. Putih Tengah IV,Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,209,Taman Lingkungan
11040005,Taman Coca Cola,Jl Letjen Suprapto,Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,133000,Taman Lingkungan
11040003,Taman Cempaka Putih Tengah XXVII,Jl. Cempaka Putih Tengah 27,Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,465,Taman Lingkungan
11070039,Taman Zainal Arifin,Jl Zainal Arifin,Jakarta Pusat,Gambir,,198,Taman Lingkungan
11070009,Taman pembangunan II,Jl Pembangunan II,Jakarta Pusat,Gambir,,1125.2,Taman Lingkungan
11070034,Taman Tanah Abang V,Jl Tanah Abang V,Jakarta Pusat,Gambir,,75,Taman Lingkungan
